texto,intent
um homem fica me seguindo no ônibus,PERSEGUICAO
um homem fica me seguindo no mercado,PERSEGUICAO
um homem fica me seguindo na academia,PERSEGUICAO
um homem fica me seguindo na igreja,PERSEGUICAO
um homem fica me seguindo no shopping,PERSEGUICAO
um homem fica me seguindo na faculdade,PERSEGUICAO
um homem fica me seguindo na escola,PERSEGUICAO
um homem fica me seguindo no trabalho,PERSEGUICAO
um homem fica me seguindo na rua,PERSEGUICAO
um homem fica me seguindo no estacionamento,PERSEGUICAO
um homem fica me seguindo no parque,PERSEGUICAO
um homem fica me seguindo na praça,PERSEGUICAO
um homem fica me seguindo no condomínio,PERSEGUICAO
um homem fica me seguindo no prédio,PERSEGUICAO
um carro vive me seguindo todo dia,PERSEGUICAO
um carro vive me seguindo toda semana,PERSEGUICAO
um carro vive me seguindo de madrugada,PERSEGUICAO
um carro vive me seguindo de manhã cedo,PERSEGUICAO
um carro vive me seguindo à noite,PERSEGUICAO
um carro vive me seguindo no metrô,PERSEGUICAO
um carro vive me seguindo no ônibus,PERSEGUICAO
um carro vive me seguindo no mercado,PERSEGUICAO
um carro vive me seguindo na academia,PERSEGUICAO
um carro vive me seguindo na igreja,PERSEGUICAO
um carro vive me seguindo no shopping,PERSEGUICAO
um carro vive me seguindo na faculdade,PERSEGUICAO
um carro vive me seguindo na escola,PERSEGUICAO
um carro vive me seguindo no trabalho,PERSEGUICAO
um carro vive me seguindo na rua,PERSEGUICAO
um carro vive me seguindo no estacionamento,PERSEGUICAO
um carro vive me seguindo no parque,PERSEGUICAO
um carro vive me seguindo na praça,PERSEGUICAO
um carro vive me seguindo no condomínio,PERSEGUICAO
um carro vive me seguindo no prédio,PERSEGUICAO
um vizinho me persegue todo dia,PERSEGUICAO
um vizinho me persegue toda semana,PERSEGUICAO
um vizinho me persegue de madrugada,PERSEGUICAO
um vizinho me persegue de manhã cedo,PERSEGUICAO
um vizinho me persegue à noite,PERSEGUICAO
um vizinho me persegue no metrô,PERSEGUICAO
um vizinho me persegue no ônibus,PERSEGUICAO
um vizinho me persegue no mercado,PERSEGUICAO
um vizinho me persegue na academia,PERSEGUICAO
um vizinho me persegue na igreja,PERSEGUICAO
um vizinho me persegue no shopping,PERSEGUICAO
um vizinho me persegue na faculdade,PERSEGUICAO
um vizinho me persegue na escola,PERSEGUICAO
um vizinho me persegue no trabalho,PERSEGUICAO
um vizinho me persegue na rua,PERSEGUICAO
um vizinho me persegue no estacionamento,PERSEGUICAO
um vizinho me persegue no parque,PERSEGUICAO
um vizinho me persegue na praça,PERSEGUICAO
um vizinho me persegue no condomínio,PERSEGUICAO
um vizinho me persegue no prédio,PERSEGUICAO
alguém aparece em todos os lugares que eu vou todo dia,PERSEGUICAO
alguém aparece em todos os lugares que eu vou toda semana,PERSEGUICAO
alguém aparece em todos os lugares que eu vou de madrugada,PERSEGUICAO
alguém aparece em todos os lugares que eu vou de manhã cedo,PERSEGUICAO
alguém aparece em todos os lugares que eu vou à noite,PERSEGUICAO
alguém aparece em todos os lugares que eu vou no metrô,PERSEGUICAO
alguém aparece em todos os lugares que eu vou no ônibus,PERSEGUICAO
alguém aparece em todos os lugares que eu vou no mercado,PERSEGUICAO
alguém aparece em todos os lugares que eu vou na academia,PERSEGUICAO
alguém aparece em todos os lugares que eu vou na igreja,PERSEGUICAO
alguém aparece em todos os lugares que eu vou no shopping,PERSEGUICAO
alguém aparece em todos os lugares que eu vou na faculdade,PERSEGUICAO
alguém aparece em todos os lugares que eu vou na escola,PERSEGUICAO
alguém aparece em todos os lugares que eu vou no trabalho,PERSEGUICAO
alguém aparece em todos os lugares que eu vou na rua,PERSEGUICAO
alguém aparece em todos os lugares que eu vou no estacionamento,PERSEGUICAO
alguém aparece em todos os lugares que eu vou no parque,PERSEGUICAO
alguém aparece em todos os lugares que eu vou na praça,PERSEGUICAO
alguém aparece em todos os lugares que eu vou no condomínio,PERSEGUICAO
alguém aparece em todos os lugares que eu vou no prédio,PERSEGUICAO


"caí em um golpe de pix",ESTELIONATO
"me enganaram pedindo transferência",ESTELIONATO
"um falso vendedor sumiu com meu dinheiro",ESTELIONATO
"caí num golpe do marketplace",ESTELIONATO
"fui enganado numa compra online",ESTELIONATO
"fizeram cobrança falsa",ESTELIONATO
"me mandaram boleto fraudado",ESTELIONATO
"vendi produto e não me pagaram",ESTELIONATO
"mandaram link de golpe",ESTELIONATO
"um falso amigo pediu dinheiro e sumiu",ESTELIONATO
"venderam produto falso pra mim",ESTELIONATO
"me aplicaram o golpe do pix",ESTELIONATO
"caí no golpe do bilhete premiado",ESTELIONATO
"um falso corretor me enganou",ESTELIONATO
"fiz transferência e não recebi nada",ESTELIONATO
"comprei online e nunca entregaram",ESTELIONATO
"me mandaram link falso de pagamento",ESTELIONATO
"cobrança de dívida que não existe",ESTELIONATO
"me pediram dinheiro e sumiram",ESTELIONATO
"me enganaram com boleto falso",ESTELIONATO
"mandaram mensagem fingindo ser banco",ESTELIONATO
"me ofereceram produto que não existia",ESTELIONATO
"comprei ingresso falso",ESTELIONATO
"me passaram troco falso",ESTELIONATO
"me pediram depósito adiantado",ESTELIONATO
"golpe do falso parente pedindo dinheiro",ESTELIONATO
"comprei celular e era réplica",ESTELIONATO
"me enganaram com nota promissória",ESTELIONATO
"fizeram compra no meu cartão sem eu saber",ESTELIONATO
"um falso funcionário pediu dados bancários",ESTELIONATO
"caí no golpe do empréstimo fácil",ESTELIONATO
"me enganaram com compra online",ESTELIONATO
"um falso vendedor me passou a perna",ESTELIONATO
"recebi boleto falso",ESTELIONATO
"me pediram dinheiro e sumiram",ESTELIONATO
"caí em golpe no marketplace",ESTELIONATO
"um cara se passou por banco",ESTELIONATO
"comprei produto e não recebi",ESTELIONATO
"me enganaram com falso prêmio",ESTELIONATO
"golpe do pix no insta",ESTELIONATO
"mandaram cobrança falsa",ESTELIONATO
"me pediram transferência falsa",ESTELIONATO
"um cara fingiu ser amigo e pediu grana",ESTELIONATO
"golpe do cartão clonado",ESTELIONATO
"recebi ligação falsa do banco",ESTELIONATO
"caí no golpe do ingresso",ESTELIONATO
"me passaram cheque sem fundo",ESTELIONATO
"um falso funcionário me enganou",ESTELIONATO
"comprei celular falso",ESTELIONATO
"me enganaram com pix errado",ESTELIONATO
"golpe da compra falsa",ESTELIONATO
"um cara pediu adiantamento e sumiu",ESTELIONATO
"me pediram depósito enganoso",ESTELIONATO
"vendi produto e não pagaram",ESTELIONATO
"mandaram link fraudulento",ESTELIONATO
"golpe do falso parente",ESTELIONATO
"caí no golpe do bilhete",ESTELIONATO
"me passaram produto falso",ESTELIONATO
"recebi cobrança inexistente",ESTELIONATO
"me enganaram com site fake",ESTELIONATO
"golpe no OLX",ESTELIONATO
"caí no golpe do emprego falso",ESTELIONATO
"um cara se passou por correio",ESTELIONATO
"me pediram senha bancária",ESTELIONATO
"mandaram mensagem de banco falso",ESTELIONATO
"comprei ingresso e era falso",ESTELIONATO
"golpe de whatsapp clonado",ESTELIONATO
"me enganaram com promessa falsa",ESTELIONATO
"um cara fingiu ser suporte",ESTELIONATO
"me venderam coisa falsificada",ESTELIONATO
"golpe da pirâmide",ESTELIONATO
"caí em golpe de investimento",ESTELIONATO
"um amigo falso pediu grana",ESTELIONATO
"me enganaram em compra virtual",ESTELIONATO
"golpe no pix do mercado",ESTELIONATO
"me pediram pix e sumiram",ESTELIONATO
"golpe do falso site",ESTELIONATO
"recebi e-mail com cobrança falsa",ESTELIONATO
"me enganaram no cartão",ESTELIONATO
"um falso corretor aplicou golpe",ESTELIONATO
um cara pediu adiantamento e sumiu no marketplace,ESTELIONATO
um cara pediu adiantamento e sumiu no insta,ESTELIONATO
um cara pediu adiantamento e sumiu no facebook,ESTELIONATO
um cara pediu adiantamento e sumiu no OLX,ESTELIONATO
um cara pediu adiantamento e sumiu no whatsapp,ESTELIONATO
um cara pediu adiantamento e sumiu por DM,ESTELIONATO
um cara pediu adiantamento e sumiu por e-mail,ESTELIONATO
um cara pediu adiantamento e sumiu por ligação,ESTELIONATO
um cara pediu adiantamento e sumiu no site fake,ESTELIONATO
um cara pediu adiantamento e sumiu no app,ESTELIONATO
um cara pediu adiantamento e sumiu no anúncio,ESTELIONATO
um cara pediu adiantamento e sumiu no grupo do zap,ESTELIONATO
um cara pediu adiantamento e sumiu no direct,ESTELIONATO
um cara pediu adiantamento e sumiu por SMS,ESTELIONATO
um cara pediu adiantamento e sumiu no chat,ESTELIONATO
um cara pediu adiantamento e sumiu num link encurtado,ESTELIONATO
um cara pediu adiantamento e sumiu no anúncio patrocinado,ESTELIONATO
um cara pediu adiantamento e sumiu no telegram,ESTELIONATO
um cara pediu adiantamento e sumiu no tiktok,ESTELIONATO
um cara pediu adiantamento e sumiu no twitter,ESTELIONATO
me mandaram link falso de pagamento no marketplace,ESTELIONATO
me mandaram link falso de pagamento no insta,ESTELIONATO
me mandaram link falso de pagamento no facebook,ESTELIONATO
me mandaram link falso de pagamento no OLX,ESTELIONATO
me mandaram link falso de pagamento no whatsapp,ESTELIONATO
me mandaram link falso de pagamento por DM,ESTELIONATO
me mandaram link falso de pagamento por e-mail,ESTELIONATO
me mandaram link falso de pagamento por ligação,ESTELIONATO
me mandaram link falso de pagamento no site fake,ESTELIONATO
me mandaram link falso de pagamento no app,ESTELIONATO
me mandaram link falso de pagamento no anúncio,ESTELIONATO
me mandaram link falso de pagamento no grupo do zap,ESTELIONATO
me mandaram link falso de pagamento no direct,ESTELIONATO
me mandaram link falso de pagamento por SMS,ESTELIONATO
me mandaram link falso de pagamento no chat,ESTELIONATO
me mandaram link falso de pagamento num link encurtado,ESTELIONATO
me mandaram link falso de pagamento no anúncio patrocinado,ESTELIONATO
me mandaram link falso de pagamento no telegram,ESTELIONATO
me mandaram link falso de pagamento no tiktok,ESTELIONATO
me mandaram link falso de pagamento no twitter,ESTELIONATO
fiz pix e não recebi nada no marketplace,ESTELIONATO
fiz pix e não recebi nada no insta,ESTELIONATO
fiz pix e não recebi nada no facebook,ESTELIONATO
fiz pix e não recebi nada no OLX,ESTELIONATO
fiz pix e não recebi nada no whatsapp,ESTELIONATO
fiz pix e não recebi nada por DM,ESTELIONATO
fiz pix e não recebi nada por e-mail,ESTELIONATO
fiz pix e não recebi nada por ligação,ESTELIONATO
fiz pix e não recebi nada no site fake,ESTELIONATO
fiz pix e não recebi nada no app,ESTELIONATO
fiz pix e não recebi nada no anúncio,ESTELIONATO
fiz pix e não recebi nada no grupo do zap,ESTELIONATO
fiz pix e não recebi nada no direct,ESTELIONATO
fiz pix e não recebi nada por SMS,ESTELIONATO
fiz pix e não recebi nada no chat,ESTELIONATO
fiz pix e não recebi nada num link encurtado,ESTELIONATO
fiz pix e não recebi nada no anúncio patrocinado,ESTELIONATO
fiz pix e não recebi nada no telegram,ESTELIONATO
fiz pix e não recebi nada no tiktok,ESTELIONATO
fiz pix e não recebi nada no twitter,ESTELIONATO
comprei online e não entregaram no marketplace,ESTELIONATO
comprei online e não entregaram no insta,ESTELIONATO
comprei online e não entregaram no facebook,ESTELIONATO
comprei online e não entregaram no OLX,ESTELIONATO
comprei online e não entregaram no whatsapp,ESTELIONATO
comprei online e não entregaram por DM,ESTELIONATO
comprei online e não entregaram por e-mail,ESTELIONATO
comprei online e não entregaram por ligação,ESTELIONATO
comprei online e não entregaram no site fake,ESTELIONATO
comprei online e não entregaram no app,ESTELIONATO
comprei online e não entregaram no anúncio,ESTELIONATO
comprei online e não entregaram no grupo do zap,ESTELIONATO
comprei online e não entregaram no direct,ESTELIONATO
comprei online e não entregaram por SMS,ESTELIONATO
comprei online e não entregaram no chat,ESTELIONATO
comprei online e não entregaram num link encurtado,ESTELIONATO
comprei online e não entregaram no anúncio patrocinado,ESTELIONATO
comprei online e não entregaram no telegram,ESTELIONATO
comprei online e não entregaram no tiktok,ESTELIONATO
comprei online e não entregaram no twitter,ESTELIONATO
me venderam produto falso no marketplace,ESTELIONATO
me venderam produto falso no insta,ESTELIONATO
me venderam produto falso no facebook,ESTELIONATO
me venderam produto falso no OLX,ESTELIONATO
me venderam produto falso no whatsapp,ESTELIONATO
me venderam produto falso por DM,ESTELIONATO
me venderam produto falso por e-mail,ESTELIONATO
me venderam produto falso por ligação,ESTELIONATO
me venderam produto falso no site fake,ESTELIONATO
me venderam produto falso no app,ESTELIONATO
me venderam produto falso no anúncio,ESTELIONATO
me venderam produto falso no grupo do zap,ESTELIONATO
me venderam produto falso no direct,ESTELIONATO
me venderam produto falso por SMS,ESTELIONATO
me venderam produto falso no chat,ESTELIONATO
me venderam produto falso num link encurtado,ESTELIONATO
me venderam produto falso no anúncio patrocinado,ESTELIONATO
me venderam produto falso no telegram,ESTELIONATO
me venderam produto falso no tiktok,ESTELIONATO
me venderam produto falso no twitter,ESTELIONATO


"meu marido me bateu",VIOLENCIA_DOMESTICA
"sofri agressão do meu parceiro",VIOLENCIA_DOMESTICA
"apanhei dentro de casa",VIOLENCIA_DOMESTICA
"meu companheiro me agrediu fisicamente",VIOLENCIA_DOMESTICA
"me ameaçaram em casa",VIOLENCIA_DOMESTICA
"estou sofrendo violência doméstica",VIOLENCIA_DOMESTICA
"apanhei do meu esposo",VIOLENCIA_DOMESTICA
"meu namorado me bateu",VIOLENCIA_DOMESTICA
"apanhei do pai dos meus filhos",VIOLENCIA_DOMESTICA
"estou sendo agredida dentro de casa",VIOLENCIA_DOMESTICA
"apanhei do meu companheiro",VIOLENCIA_DOMESTICA
"meu marido me empurrou contra a parede",VIOLENCIA_DOMESTICA
"sofri violência física em casa",VIOLENCIA_DOMESTICA
"meu namorado me deu um soco",VIOLENCIA_DOMESTICA
"apanhei do meu parceiro",VIOLENCIA_DOMESTICA
"me ameaçaram dentro de casa",VIOLENCIA_DOMESTICA
"meu marido me bate sempre",VIOLENCIA_DOMESTICA
"estou sendo agredida pelo companheiro",VIOLENCIA_DOMESTICA
"apanhei do pai dos meus filhos",VIOLENCIA_DOMESTICA
"meu esposo me deu tapa no rosto",VIOLENCIA_DOMESTICA
"apanhei do namorado em casa",VIOLENCIA_DOMESTICA
"meu parceiro tentou me enforcar",VIOLENCIA_DOMESTICA
"fui chutada dentro de casa",VIOLENCIA_DOMESTICA
"meu marido me puxou pelo cabelo",VIOLENCIA_DOMESTICA
"sofri socos e chutes do meu companheiro",VIOLENCIA_DOMESTICA
"apanhei dentro de casa na frente dos filhos",VIOLENCIA_DOMESTICA
"meu parceiro me ameaçou com faca",VIOLENCIA_DOMESTICA
"apanhei do companheiro várias vezes",VIOLENCIA_DOMESTICA
"meu esposo tentou me sufocar",VIOLENCIA_DOMESTICA
"sofri violência psicológica e física em casa",VIOLENCIA_DOMESTICA
"meu marido me agrediu de novo",VIOLENCIA_DOMESTICA
"apanhei do namorado ontem",VIOLENCIA_DOMESTICA
"meu parceiro me deu soco",VIOLENCIA_DOMESTICA
"sofri tapa dentro de casa",VIOLENCIA_DOMESTICA
"meu esposo me bate sempre",VIOLENCIA_DOMESTICA
"apanhei na frente dos filhos",VIOLENCIA_DOMESTICA
"meu companheiro me chutou",VIOLENCIA_DOMESTICA
"apanhei do marido com violência",VIOLENCIA_DOMESTICA
"meu namorado me agrediu na rua",VIOLENCIA_DOMESTICA
"apanhei do parceiro várias vezes",VIOLENCIA_DOMESTICA
"meu esposo me puxou pelo cabelo",VIOLENCIA_DOMESTICA
"sofri agressão em casa",VIOLENCIA_DOMESTICA
"meu companheiro tentou me enforcar",VIOLENCIA_DOMESTICA
"apanhei com socos do marido",VIOLENCIA_DOMESTICA
"meu namorado tentou me sufocar",VIOLENCIA_DOMESTICA
"apanhei do pai dos meus filhos de novo",VIOLENCIA_DOMESTICA
"meu parceiro me deu chute forte",VIOLENCIA_DOMESTICA
"apanhei dentro de casa sem parar",VIOLENCIA_DOMESTICA
"meu esposo me ameaçou com faca",VIOLENCIA_DOMESTICA
"sofri violência dentro de casa",VIOLENCIA_DOMESTICA
"apanhei do namorado violento",VIOLENCIA_DOMESTICA
"meu marido me bateu feio",VIOLENCIA_DOMESTICA
"apanhei do companheiro ontem",VIOLENCIA_DOMESTICA
"meu parceiro me deu tapas fortes",VIOLENCIA_DOMESTICA
"apanhei dentro do lar",VIOLENCIA_DOMESTICA
"meu esposo me socou",VIOLENCIA_DOMESTICA
"apanhei e fiquei machucada",VIOLENCIA_DOMESTICA
"meu companheiro me agrediu com violência",VIOL
meu marido me bateu hoje,VIOLENCIA_DOMESTICA
meu marido me bateu ontem,VIOLENCIA_DOMESTICA
meu marido me bateu essa semana,VIOLENCIA_DOMESTICA
meu marido me bateu de madrugada,VIOLENCIA_DOMESTICA
meu marido me bateu de manhã,VIOLENCIA_DOMESTICA
meu marido me bateu na sala,VIOLENCIA_DOMESTICA
meu marido me bateu no quarto,VIOLENCIA_DOMESTICA
meu marido me bateu na cozinha,VIOLENCIA_DOMESTICA
meu marido me bateu no quintal,VIOLENCIA_DOMESTICA
meu marido me bateu no corredor,VIOLENCIA_DOMESTICA
meu marido me bateu depois de discutir,VIOLENCIA_DOMESTICA
meu marido me bateu quando cheguei do trabalho,VIOLENCIA_DOMESTICA
meu marido me bateu quando ele bebeu,VIOLENCIA_DOMESTICA
meu marido me bateu durante a madrugada,VIOLENCIA_DOMESTICA
meu marido me bateu antes de sair de casa,VIOLENCIA_DOMESTICA
meu marido me bateu no domingo,VIOLENCIA_DOMESTICA
meu marido me bateu no feriado,VIOLENCIA_DOMESTICA
meu marido me bateu na hora do jantar,VIOLENCIA_DOMESTICA
meu marido me bateu na hora do almoço,VIOLENCIA_DOMESTICA
meu marido me bateu quando as crianças estavam em casa,VIOLENCIA_DOMESTICA
meu namorado me agrediu hoje,VIOLENCIA_DOMESTICA
meu namorado me agrediu ontem,VIOLENCIA_DOMESTICA
meu namorado me agrediu essa semana,VIOLENCIA_DOMESTICA
meu namorado me agrediu de madrugada,VIOLENCIA_DOMESTICA
meu namorado me agrediu de manhã,VIOLENCIA_DOMESTICA
meu namorado me agrediu na sala,VIOLENCIA_DOMESTICA
meu namorado me agrediu no quarto,VIOLENCIA_DOMESTICA
meu namorado me agrediu na cozinha,VIOLENCIA_DOMESTICA
meu namorado me agrediu no quintal,VIOLENCIA_DOMESTICA
meu namorado me agrediu no corredor,VIOLENCIA_DOMESTICA
meu namorado me agrediu depois de discutir,VIOLENCIA_DOMESTICA
meu namorado me agrediu quando cheguei do trabalho,VIOLENCIA_DOMESTICA
meu namorado me agrediu quando ele bebeu,VIOLENCIA_DOMESTICA
meu namorado me agrediu durante a madrugada,VIOLENCIA_DOMESTICA
meu namorado me agrediu antes de sair de casa,VIOLENCIA_DOMESTICA
meu namorado me agrediu no domingo,VIOLENCIA_DOMESTICA
meu namorado me agrediu no feriado,VIOLENCIA_DOMESTICA
meu namorado me agrediu na hora do jantar,VIOLENCIA_DOMESTICA
meu namorado me agrediu na hora do almoço,VIOLENCIA_DOMESTICA
meu namorado me agrediu quando as crianças estavam em casa,VIOLENCIA_DOMESTICA
meu companheiro me puxou pelo cabelo hoje,VIOLENCIA_DOMESTICA
meu companheiro me puxou pelo cabelo ontem,VIOLENCIA_DOMESTICA
meu companheiro me puxou pelo cabelo essa semana,VIOLENCIA_DOMESTICA
meu companheiro me puxou pelo cabelo de madrugada,VIOLENCIA_DOMESTICA
meu companheiro me puxou pelo cabelo de manhã,VIOLENCIA_DOMESTICA
meu companheiro me puxou pelo cabelo na sala,VIOLENCIA_DOMESTICA
meu companheiro me puxou pelo cabelo no quarto,VIOLENCIA_DOMESTICA
meu companheiro me puxou pelo cabelo na cozinha,VIOLENCIA_DOMESTICA
meu companheiro me puxou pelo cabelo no quintal,VIOLENCIA_DOMESTICA
meu companheiro me puxou pelo cabelo no corredor,VIOLENCIA_DOMESTICA
meu companheiro me puxou pelo cabelo depois de discutir,VIOLENCIA_DOMESTICA
meu companheiro me puxou pelo cabelo quando cheguei do trabalho,VIOLENCIA_DOMESTICA
meu companheiro me puxou pelo cabelo quando ele bebeu,VIOLENCIA_DOMESTICA
meu companheiro me puxou pelo cabelo durante a madrugada,VIOLENCIA_DOMESTICA
meu companheiro me puxou pelo cabelo antes de sair de casa,VIOLENCIA_DOMESTICA
meu companheiro me puxou pelo cabelo no domingo,VIOLENCIA_DOMESTICA
meu companheiro me puxou pelo cabelo no feriado,VIOLENCIA_DOMESTICA
meu companheiro me puxou pelo cabelo na hora do jantar,VIOLENCIA_DOMESTICA
meu companheiro me puxou pelo cabelo na hora do almoço,VIOLENCIA_DOMESTICA
meu companheiro me puxou pelo cabelo quando as crianças estavam em casa,VIOLENCIA_DOMESTICA
apanhei dentro de casa hoje,VIOLENCIA_DOMESTICA
apanhei dentro de casa ontem,VIOLENCIA_DOMESTICA
apanhei dentro de casa essa semana,VIOLENCIA_DOMESTICA
apanhei dentro de casa de madrugada,VIOLENCIA_DOMESTICA
apanhei dentro de casa de manhã,VIOLENCIA_DOMESTICA
apanhei dentro de casa na sala,VIOLENCIA_DOMESTICA
apanhei dentro de casa no quarto,VIOLENCIA_DOMESTICA
apanhei dentro de casa na cozinha,VIOLENCIA_DOMESTICA
apanhei dentro de casa no quintal,VIOLENCIA_DOMESTICA
apanhei dentro de casa no corredor,VIOLENCIA_DOMESTICA
apanhei dentro de casa depois de discutir,VIOLENCIA_DOMESTICA
apanhei dentro de casa quando cheguei do trabalho,VIOLENCIA_DOMESTICA
apanhei dentro de casa quando ele bebeu,VIOLENCIA_DOMESTICA
apanhei dentro de casa durante a madrugada,VIOLENCIA_DOMESTICA
apanhei dentro de casa antes de sair de casa,VIOLENCIA_DOMESTICA
apanhei dentro de casa no domingo,VIOLENCIA_DOMESTICA
apanhei dentro de casa no feriado,VIOLENCIA_DOMESTICA
apanhei dentro de casa na hora do jantar,VIOLENCIA_DOMESTICA
apanhei dentro de casa na hora do almoço,VIOLENCIA_DOMESTICA
apanhei dentro de casa quando as crianças estavam em casa,VIOLENCIA_DOMESTICA
ele me ameaçou dentro de casa hoje,VIOLENCIA_DOMESTICA
ele me ameaçou dentro de casa ontem,VIOLENCIA_DOMESTICA
ele me ameaçou dentro de casa essa semana,VIOLENCIA_DOMESTICA
ele me ameaçou dentro de casa de madrugada,VIOLENCIA_DOMESTICA
ele me ameaçou dentro de casa de manhã,VIOLENCIA_DOMESTICA
ele me ameaçou dentro de casa na sala,VIOLENCIA_DOMESTICA
ele me ameaçou dentro de casa no quarto,VIOLENCIA_DOMESTICA
ele me ameaçou dentro de casa na cozinha,VIOLENCIA_DOMESTICA
ele me ameaçou dentro de casa no quintal,VIOLENCIA_DOMESTICA
ele me ameaçou dentro de casa no corredor,VIOLENCIA_DOMESTICA
ele me ameaçou dentro de casa depois de discutir,VIOLENCIA_DOMESTICA
ele me ameaçou dentro de casa quando cheguei do trabalho,VIOLENCIA_DOMESTICA
ele me ameaçou dentro de casa quando ele bebeu,VIOLENCIA_DOMESTICA
ele me ameaçou dentro de casa durante a madrugada,VIOLENCIA_DOMESTICA
ele me ameaçou dentro de casa antes de sair de casa,VIOLENCIA_DOMESTICA
ele me ameaçou dentro de casa no domingo,VIOLENCIA_DOMESTICA
ele me ameaçou dentro de casa no feriado,VIOLENCIA_DOMESTICA
ele me ameaçou dentro de casa na hora do jantar,VIOLENCIA_DOMESTICA
ele me ameaçou dentro de casa na hora do almoço,VIOLENCIA_DOMESTICA
ele me ameaçou dentro de casa quando as crianças estavam em casa,VIOLENCIA_DOMESTICA

"não sei explicar o que aconteceu",DESCONHECIDO
"tô confuso, não sei qual é o problema",DESCONHECIDO
"é uma situação estranha, não entendi",DESCONHECIDO
"quero ajuda mas não sei o nome do crime",DESCONHECIDO
"não sei se isso é crime",DESCONHECIDO
"aconteceu algo, mas não sei classificar",DESCONHECIDO
"não entendi direito a situação",DESCONHECIDO
"tô perdido, não sei o que fazer",DESCONHECIDO
"coisa nada a ver",DESCONHECIDO
"sem contexto",DESCONHECIDO
